epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,195.723,1.88097,1.35319,2.63969,0.88705,0.55441,0.75913,0.54387,3.03897,3.78862,2.48371,3.00476e-05,3.00476e-05,3.00476e-05
53,197.483,1.24394,1.25393,2.27287,0.88705,0.55441,0.75913,0.54387,3.03897,3.78862,2.48371,3.00242e-05,3.00242e-05,3.00242e-05
54,199.386,1.63458,1.24585,2.45877,0.88009,0.55598,0.72998,0.51844,3.11831,3.72075,2.52917,2.99772e-05,2.99772e-05,2.99772e-05
55,201.167,1.32309,1.16837,2.06484,0.88009,0.55598,0.72998,0.51844,3.11831,3.72075,2.52917,2.99066e-05,2.99066e-05,2.99066e-05
56,202.932,1.79538,1.73654,2.87645,0.88009,0.55598,0.72998,0.51844,3.11831,3.72075,2.52917,2.98125e-05,2.98125e-05,2.98125e-05
57,204.755,1.54331,2.15484,2.53418,0.8761,0.55694,0.72812,0.51778,3.13452,3.76611,2.53597,2.96948e-05,2.96948e-05,2.96948e-05
58,206.575,1.49684,1.87477,2.40173,0.8761,0.55694,0.72812,0.51778,3.13452,3.76611,2.53597,2.95535e-05,2.95535e-05,2.95535e-05
59,208.344,1.33946,1.43996,2.12574,0.8761,0.55694,0.72812,0.51778,3.13452,3.76611,2.53597,2.93887e-05,2.93887e-05,2.93887e-05
60,210.183,1.91881,1.62213,3.0057,0.86938,0.55962,0.7132,0.48864,3.15656,3.81573,2.54028,2.92003e-05,2.92003e-05,2.92003e-05
61,211.962,1.19934,1.11666,2.09242,0.86938,0.55962,0.7132,0.48864,3.15656,3.81573,2.54028,2.89884e-05,2.89884e-05,2.89884e-05
62,213.733,1.12023,1.02047,1.87543,0.86938,0.55962,0.7132,0.48864,3.15656,3.81573,2.54028,2.87529e-05,2.87529e-05,2.87529e-05
63,215.57,1.40502,1.32926,2.21108,0.86029,0.56392,0.71239,0.47849,3.1845,3.87091,2.55427,2.84938e-05,2.84938e-05,2.84938e-05
64,217.35,1.24264,0.94302,2.07305,0.86029,0.56392,0.71239,0.47849,3.1845,3.87091,2.55427,2.82112e-05,2.82112e-05,2.82112e-05
65,219.121,1.13884,1.34582,2.27788,0.86029,0.56392,0.71239,0.47849,3.1845,3.87091,2.55427,2.7905e-05,2.7905e-05,2.7905e-05
66,221.006,1.05792,0.86436,1.90287,0.86321,0.56304,0.7044,0.44876,3.21697,3.96224,2.56568,2.75753e-05,2.75753e-05,2.75753e-05
67,222.802,1.35068,1.51215,2.0836,0.86321,0.56304,0.7044,0.44876,3.21697,3.96224,2.56568,2.7222e-05,2.7222e-05,2.7222e-05
68,224.664,1.66475,2.6221,2.46127,0.86321,0.56304,0.7044,0.44876,3.21697,3.96224,2.56568,2.68451e-05,2.68451e-05,2.68451e-05
69,226.518,1.15196,1.72896,2.08956,0.86432,0.56166,0.67308,0.43597,3.25556,4.03182,2.5803,2.64447e-05,2.64447e-05,2.64447e-05
70,228.285,1.62833,1.01049,2.57595,0.86432,0.56166,0.67308,0.43597,3.25556,4.03182,2.5803,2.60207e-05,2.60207e-05,2.60207e-05
71,230.069,1.64961,2.12435,2.42527,0.86432,0.56166,0.67308,0.43597,3.25556,4.03182,2.5803,2.55731e-05,2.55731e-05,2.55731e-05
72,231.928,1.03775,0.80339,2.01744,0.8703,0.5594,0.6746,0.43674,3.23112,4.12725,2.58524,2.5102e-05,2.5102e-05,2.5102e-05
73,233.719,1.18526,1.16112,1.98408,0.8703,0.5594,0.6746,0.43674,3.23112,4.12725,2.58524,2.46073e-05,2.46073e-05,2.46073e-05
74,235.488,1.32177,0.81996,2.32542,0.8703,0.5594,0.6746,0.43674,3.23112,4.12725,2.58524,2.40891e-05,2.40891e-05,2.40891e-05
75,237.324,1.30778,0.75069,2.23168,0.87745,0.55873,0.67459,0.41955,3.25696,4.19713,2.59877,2.35472e-05,2.35472e-05,2.35472e-05
76,239.105,1.09313,1.22801,2.15593,0.87745,0.55873,0.67459,0.41955,3.25696,4.19713,2.59877,2.29819e-05,2.29819e-05,2.29819e-05
77,240.886,1.3629,1.09924,2.19734,0.87745,0.55873,0.67459,0.41955,3.25696,4.19713,2.59877,2.23929e-05,2.23929e-05,2.23929e-05
78,242.744,1.54151,1.58245,2.22744,0.88188,0.55942,0.67378,0.41939,3.26204,4.21381,2.60343,2.17805e-05,2.17805e-05,2.17805e-05
79,244.514,1.19849,1.06141,2.13788,0.88188,0.55942,0.67378,0.41939,3.26204,4.21381,2.60343,2.11444e-05,2.11444e-05,2.11444e-05
80,246.291,1.4358,1.63333,2.26909,0.88188,0.55942,0.67378,0.41939,3.26204,4.21381,2.60343,2.04848e-05,2.04848e-05,2.04848e-05
81,248.144,0.92401,0.64062,1.91734,0.87809,0.56046,0.69525,0.42573,3.27813,4.26993,2.6139,1.98016e-05,1.98016e-05,1.98016e-05
82,249.922,1.25365,1.11819,2.15527,0.87809,0.56046,0.69525,0.42573,3.27813,4.26993,2.6139,1.90949e-05,1.90949e-05,1.90949e-05
83,251.715,1.26547,1.01322,2.13886,0.87809,0.56046,0.69525,0.42573,3.27813,4.26993,2.6139,1.83646e-05,1.83646e-05,1.83646e-05
84,253.583,1.47423,1.16981,2.27631,0.88222,0.56106,0.7008,0.42607,3.27164,4.34302,2.58609,1.76107e-05,1.76107e-05,1.76107e-05
